Week,GameDate,Status,Conference,Team,Opponent,OppStatus,OppConference,Wins,Losses,OppWins,OppLosses
1,8/27/2014,G5,Sun Belt,Georgia State,Abilene Christian,FCS,FCS,0,12,,
1,8/28/2014,G5,Sun Belt,New Mexico State,Cal Poly,FCS,FCS,2,10,,
1,8/28/2014,G5,AAC,Temple,Vanderbilt,P5,SEC,2,10,9,4
1,8/28/2014,P5,ACC,Wake Forest,Louisiana-Monroe,G5,Sun Belt,4,8,6,6
1,8/28/2014,G5,Mid-American,Akron,Howard,FCS,FCS,5,7,,
1,8/28/2014,P5,PAC,Utah,Idaho State,FCS,FCS,5,7,,
1,8/28/2014,G5,Mid-American,Central Michigan,Chattanooga,FCS,FCS,6,6,,
1,8/28/2014,G5,Sun Belt,Louisiana-Monroe,Wake Forest,P5,ACC,6,6,4,8
1,8/28/2014,G5,Mountain West,San Jose State,North Dakota,FCS,FCS,6,6,,
1,8/28/2014,P5,Big Ten,Rutgers,Washington State,P5,PAC,6,7,6,7
1,8/28/2014,P5,PAC,Washington State,Rutgers,P5,Big Ten,6,7,6,7
1,8/28/2014,G5,Mountain West,Boise State,Ole Miss,P5,SEC,8,5,8,5
1,8/28/2014,P5,Big Ten,Minnesota,Eastern Illinois,FCS,FCS,8,5,,
1,8/28/2014,P5,SEC,Ole Miss,Boise State,G5,Mountain West,8,5,8,5
1,8/28/2014,P5,SEC,Texas A&M,South Carolina,P5,SEC,9,4,11,2
1,8/28/2014,P5,SEC,Vanderbilt,Temple,G5,AAC,9,4,2,10
1,8/28/2014,P5,PAC,Arizona State,Weber State,FCS,FCS,10,4,,
1,8/28/2014,P5,SEC,South Carolina,Texas A&M,P5,SEC,11,2,9,4
1,8/28/2014,G5,Mid-American,Northern Illinois,Presbyterian,FCS,FCS,12,2,,
1,8/29/2014,G5,AAC,Connecticut,BYU,G5,Ind.,3,9,8,5
1,8/29/2014,P5,PAC,Colorado,Colorado State,G5,Mountain West,4,8,8,6
1,8/29/2014,G5,Mountain West,UNLV,Arizona,P5,PAC,7,6,8,5
1,8/29/2014,G5,CUSA,UTSA,Houston,G5,AAC,7,5,8,5
